phonon1,phonon2,distance
b+a,b+a,59.104898
b+a,b+i,66.703214
b+a,b+u,63.490696
b+a,b+e,66.284448
b+a,b+o,62.361514
b+a,d+a,63.739076
b+a,d+i,66.538003
b+a,d+u,65.089299
b+a,d+e,67.136747
b+a,d+o,65.044109
b+a,f+a,69.707938
b+a,f+i,71.144476
b+a,f+u,71.108526
b+a,f+e,71.144476
b+a,f+o,69.707938
b+a,g+a,65.494421
b+a,g+i,66.338544
b+a,g+u,65.132205
b+a,g+e,66.328731
b+a,g+o,65.528824
b+a,h+a,69.434615
b+a,h+i,72.369062
b+a,h+u,69.434992
b+a,h+e,73.025199
b+a,h+o,72.621345
b+a,j+a,67.302598
b+a,j+i,67.398075
b+a,j+u,67.360196
b+a,j+e,67.396587
b+a,j+o,67.347147
b+a,k+a,68.748199
b+a,k+i,69.205716
b+a,k+u,68.12014
b+a,k+e,70.723431
b+a,k+o,69.209276
b+a,m+a,64.769724
b+a,m+i,68.259778
b+a,m+u,67.165737
b+a,m+e,67.810974
b+a,m+o,66.790934
b+a,n+a,65.151437
b+a,n+i,68.031719
b+a,n+u,68.017297
b+a,n+e,67.969201
b+a,n+o,67.752116
b+a,p+a,67.088896
b+a,p+i,74.033045
b+a,p+u,69.041583
b+a,p+e,69.146742
b+a,p+o,69.337009
b+a,r+a,64.191839
b+a,r+i,67.651921
b+a,r+u,65.347516
b+a,r+e,66.956604
b+a,r+o,64.840756
b+a,s+a,70.897173
b+a,s+i,71.703689
b+a,s+u,71.703689
b+a,s+e,70.897297
b+a,s+o,71.703656
b+a,t+a,70.009229
b+a,t+i,71.859194
b+a,t+u,70.394556
b+a,t+e,71.843599
b+a,t+o,69.924492
b+a,w+a,68.376662
b+a,w+i,68.515408
b+a,w+u,68.376662
b+a,w+e,68.515408
b+a,w+o,68.376662
b+a,y+a,70.376637
b+a,y+i,71.613833
b+a,y+u,71.613833
b+a,y+e,70.914446
b+a,y+o,70.914446
b+a,z+a,66.598917
b+a,z+i,67.101001
b+a,z+u,67.101001
b+a,z+e,67.092109
b+a,z+o,66.799877
b+a,by+a,69.342917
b+a,by+i,70.028444
b+a,by+u,70.028444
b+a,by+e,70.007946
b+a,by+o,70.007946
b+a,ch+a,71.94363
b+a,ch+i,70.748737
b+a,ch+u,70.749489
b+a,ch+e,72.308254
b+a,ch+o,71.137445
b+a,dy+a,81.019249
b+a,dy+i,81.019249
b+a,dy+u,81.019249
b+a,dy+e,81.019249
b+a,dy+o,81.019249
b+a,gy+a,67.814322
b+a,gy+i,67.954267
b+a,gy+u,67.954267
b+a,gy+e,67.935554
b+a,gy+o,67.935554
b+a,hy+a,72.703247
b+a,hy+i,73.187744
b+a,hy+u,73.187744
b+a,hy+e,73.177692
b+a,hy+o,73.177692
b+a,ky+a,70.196949
b+a,ky+i,70.201408
b+a,ky+u,70.201408
b+a,ky+e,70.19167
b+a,ky+o,70.19167
b+a,my+a,70.199491
b+a,my+i,70.212229
b+a,my+u,70.212229
b+a,my+e,70.212231
b+a,my+o,70.212231
b+a,ny+a,69.451376
b+a,ny+i,69.493196
b+a,ny+u,69.493196
b+a,ny+e,69.451376
b+a,ny+o,69.451376
b+a,py+a,75.763469
b+a,py+i,76.551898
b+a,py+u,76.551898
b+a,py+e,76.21051
b+a,py+o,76.21051
b+a,ry+a,67.37789
b+a,ry+i,67.375165
b+a,ry+u,67.375165
b+a,ry+e,67.37789
b+a,ry+o,67.37789
b+a,sh+a,71.983541
b+a,sh+i,72.020543
b+a,sh+u,73.498623
b+a,sh+e,72.020562
b+a,sh+o,73.496607
b+a,ts+a,70.204522
b+a,ts+i,70.204522
b+a,ts+u,70.204522
b+a,ts+e,70.204522
b+a,ts+o,70.201123
b+a,sp,70.545643
b+i,b+a,65.073576
b+i,b+i,58.427932
b+i,b+u,64.373359
b+i,b+e,61.668731
b+i,b+o,64.986408
b+i,d+a,64.719567
b+i,d+i,62.816207
b+i,d+u,63.702326
b+i,d+e,63.247128
b+i,d+o,64.284578
b+i,f+a,72.469865
b+i,f+i,69.101469
b+i,f+u,70.350551
b+i,f+e,69.101469
b+i,f+o,72.469865
b+i,g+a,65.836144
b+i,g+i,62.949475
b+i,g+u,65.208495
b+i,g+e,62.736121
b+i,g+o,66.853245
b+i,h+a,70.52279
b+i,h+i,68.494893
b+i,h+u,70.521958
b+i,h+e,70.273594
b+i,h+o,74.900375
b+i,j+a,64.332951
b+i,j+i,64.649019
b+i,j+u,64.324937
b+i,j+e,64.698513
b+i,j+o,64.331887
b+i,k+a,68.756494
b+i,k+i,67.660132
b+i,k+u,68.703812
b+i,k+e,68.23715
b+i,k+o,70.320546
b+i,m+a,68.620998
b+i,m+i,63.640177
b+i,m+u,67.272429
b+i,m+e,64.807089
b+i,m+o,68.363232
b+i,n+a,66.026917
b+i,n+i,64.09758
b+i,n+u,64.805362
b+i,n+e,65.135196
b+i,n+o,67.978309
b+i,p+a,72.131568
b+i,p+i,68.560564
b+i,p+u,70.325017
b+i,p+e,67.463726
b+i,p+o,72.323227
b+i,r+a,64.657865
b+i,r+i,62.279268
b+i,r+u,64.345291
b+i,r+e,63.055773
b+i,r+o,64.689961
b+i,s+a,69.394367
b+i,s+i,70.090408
b+i,s+u,70.090419
b+i,s+e,69.394242
b+i,s+o,70.090419
b+i,t+a,71.774532
b+i,t+i,70.345522
b+i,t+u,71.638515
b+i,t+e,70.640672
b+i,t+o,69.745705
b+i,w+a,74.73309
b+i,w+i,73.341625
b+i,w+u,74.73309
b+i,w+e,73.341625
b+i,w+o,74.73309
b+i,y+a,66.878534
b+i,y+i,66.699392
b+i,y+u,66.699392
b+i,y+e,66.759173
b+i,y+o,66.759173
b+i,z+a,64.829717
b+i,z+i,64.833557
b+i,z+u,64.833557
b+i,z+e,64.723516
b+i,z+o,64.831522
b+i,by+a,64.6193
b+i,by+i,62.147509
b+i,by+u,62.147509
b+i,by+e,62.155126
b+i,by+o,62.155126
b+i,ch+a,69.696063
b+i,ch+i,69.191384
b+i,ch+u,69.184728
b+i,ch+e,69.673517
b+i,ch+o,69.341454
b+i,dy+a,75.369787
b+i,dy+i,75.369787
b+i,dy+u,75.369787
b+i,dy+e,75.369787
b+i,dy+o,75.369787
b+i,gy+a,64.176323
b+i,gy+i,64.308351
b+i,gy+u,64.308351
b+i,gy+e,64.109836
b+i,gy+o,64.109836
b+i,hy+a,69.560014
b+i,hy+i,69.562192
b+i,hy+u,69.562192
b+i,hy+e,69.5622
b+i,hy+o,69.5622
b+i,ky+a,68.468815
b+i,ky+i,68.465459
b+i,ky+u,68.465459
b+i,ky+e,68.469597
b+i,ky+o,68.469597
b+i,my+a,65.646213
b+i,my+i,65.645802
b+i,my+u,65.645802
b+i,my+e,65.646241
b+i,my+o,65.646241
b+i,ny+a,65.954216
b+i,ny+i,65.131942
b+i,ny+u,65.131942
b+i,ny+e,65.954216
b+i,ny+o,65.954216
b+i,py+a,70.2463
b+i,py+i,70.228885
b+i,py+u,70.228885
b+i,py+e,70.243841
b+i,py+o,70.243841
b+i,ry+a,63.109452
b+i,ry+i,62.876737
b+i,ry+u,62.876737
b+i,ry+e,63.109452
b+i,ry+o,63.109452
b+i,sh+a,69.10726
b+i,sh+i,69.106601
b+i,sh+u,70.128
b+i,sh+e,69.106896
b+i,sh+o,70.128001
b+i,ts+a,69.40225
b+i,ts+i,69.398785
b+i,ts+u,69.40225
b+i,ts+e,69.398785
b+i,ts+o,69.402252
b+i,sp,70.072579
b+u,b+a,60.795052
b+u,b+i,62.304557
b+u,b+u,58.494743
b+u,b+e,62.119254
b+u,b+o,60.651277
b+u,d+a,62.281452
b+u,d+i,62.460585
b+u,d+u,61.958183
b+u,d+e,62.999715
b+u,d+o,61.988714
b+u,f+a,67.719108
b+u,f+i,67.590382
b+u,f+u,67.51294
b+u,f+e,67.590382
b+u,f+o,67.719108
b+u,g+a,63.442955
b+u,g+i,63.209136
b+u,g+u,62.360499
b+u,g+e,63.132654
b+u,g+o,64.147523
b+u,h+a,68.109023
b+u,h+i,69.112714
b+u,h+u,68.111668
b+u,h+e,69.598015
b+u,h+o,70.877914
b+u,j+a,63.745095
b+u,j+i,63.813289
b+u,j+u,63.758879
b+u,j+e,63.810237
b+u,j+o,63.736884
b+u,k+a,66.153966
b+u,k+i,66.567832
b+u,k+u,65.997327
b+u,k+e,66.677669
