phonon1,phonon2,distance
b-a,b-a,56.386677
b-a,b-a:,61.631221
b-a,b-i,84.16709
b-a,b-i:,86.914328
b-a,b-u,73.933234
b-a,b-u:,78.142857
b-a,b-e,74.129744
b-a,b-e:,80.979809
b-a,b-o,67.930188
b-a,b-o:,69.969717
b-a,d-a,59.030354
b-a,d-a:,61.631526
b-a,d-i,84.16709
b-a,d-i:,86.914328
b-a,d-u,71.722393
b-a,d-u:,79.02032
b-a,d-e,75.905433
b-a,d-e:,80.979809
b-a,d-o,67.931717
b-a,d-o:,70.584421
b-a,f-a,59.410367
b-a,f-a:,61.631221
b-a,f-i,84.929763
b-a,f-i:,85.206248
b-a,f-u,71.380048
b-a,f-u:,78.142857
b-a,f-e,77.551275
b-a,f-e:,81.317422
b-a,f-o,68.23523
b-a,f-o:,70.609436
b-a,g-a,58.251643
b-a,g-a:,61.653627
b-a,g-i,81.773631
b-a,g-i:,93.014266
b-a,g-u,73.026445
b-a,g-u:,78.142857
b-a,g-e,76.351006
b-a,g-e:,82.665274
b-a,g-o,67.314785
b-a,g-o:,70.107289
b-a,h-a,59.410367
b-a,h-a:,62.008193
b-a,h-i,84.929763
b-a,h-i:,85.206248
b-a,h-u,74.150008
b-a,h-u:,78.142857
b-a,h-e,75.203211
b-a,h-e:,82.148167
b-a,h-o,68.23523
b-a,h-o:,70.609436
b-a,y-a,60.063665
b-a,y-a:,62.710783
b-a,y-i,85.759962
b-a,y-i:,92.064023
b-a,y-u,76.371196
b-a,y-u:,79.937747
b-a,y-e,75.788549
b-a,y-e:,82.430702
b-a,y-o,66.772739
b-a,y-o:,69.80395
b-a,k-a,58.333835
b-a,k-a:,61.700329
b-a,k-i,82.232429
b-a,k-i:,93.821933
b-a,k-u,73.675778
b-a,k-u:,78.142857
b-a,k-e,78.66126
b-a,k-e:,82.115644
b-a,k-o,67.991592
b-a,k-o:,70.659921
b-a,m-a,58.974726
b-a,m-a:,61.631221
b-a,m-i,80.516427
b-a,m-i:,86.894751
b-a,m-u,69.784799
b-a,m-u:,78.142857
b-a,m-e,73.734523
b-a,m-e:,80.72641
b-a,m-o,67.320124
b-a,m-o:,70.557971
b-a,n-a,60.035116
b-a,n-a:,61.631526
b-a,n-i,82.734421
b-a,n-i:,86.894751
b-a,n-u,69.879637
b-a,n-u:,79.02032
b-a,n-e,73.027277
b-a,n-e:,80.961925
b-a,n-o,65.800168
b-a,n-o:,69.537748
b-a,p-a,58.855224
b-a,p-a:,61.631221
b-a,p-i,83.067298
b-a,p-i:,85.206248
b-a,p-u,71.325976
b-a,p-u:,78.142857
b-a,p-e,76.526032
b-a,p-e:,81.317422
b-a,p-o,68.280201
b-a,p-o:,70.596942
b-a,r-a,58.805515
b-a,r-a:,61.653627
b-a,r-i,84.582885
b-a,r-i:,86.914328
b-a,r-u,72.804593
b-a,r-u:,78.317768
b-a,r-e,73.872522
b-a,r-e:,80.066267
b-a,r-o,67.135961
b-a,r-o:,70.232215
b-a,s-a,58.874241
b-a,s-a:,61.594465
b-a,s-i,84.929763
b-a,s-i:,85.206248
b-a,s-u,73.779609
b-a,s-u:,81.292802
b-a,s-e,75.393707
b-a,s-e:,80.049645
b-a,s-o,67.41872
b-a,s-o:,70.068764
b-a,t-a,58.993692
b-a,t-a:,61.569902
b-a,t-i,83.067298
b-a,t-i:,85.206248
b-a,t-u,72.565169
b-a,t-u:,79.02032
b-a,t-e,76.526032
b-a,t-e:,81.76942
b-a,t-o,67.41872
b-a,t-o:,70.405995
b-a,w-a,58.595751
b-a,w-a:,63.828005
b-a,w-i,84.16709
b-a,w-i:,86.914328
b-a,w-u,76.371196
b-a,w-u:,79.937747
b-a,w-e,75.788549
b-a,w-e:,80.066267
b-a,w-o,65.016455
b-a,w-o:,69.80395
b-a,z-a,58.764169
b-a,z-a:,61.653627
b-a,z-i,84.16709
b-a,z-i:,86.914328
b-a,z-u,75.765555
b-a,z-u:,81.292802
b-a,z-e,75.69156
b-a,z-e:,79.678374
b-a,z-o,67.790861
b-a,z-o:,70.721178
b-a,ts-a,58.874241
b-a,ts-a:,61.594465
b-a,ts-i,83.423652
b-a,ts-i:,85.206248
b-a,ts-u,74.180533
b-a,ts-u:,81.292802
b-a,ts-e,75.393707
b-a,ts-e:,80.049645
b-a,ts-o,68.573902
b-a,ts-o:,70.405995
b-a,N,69.722857
b-a,q,71.608633
b-a,sp,67.085988
b-a,a,60.578099
b-a,a:,61.700329
b-a,i,76.729506
b-a,i:,85.206248
b-a,u,70.129631
b-a,u:,78.142857
b-a,e,73.091905
b-a,e:,70.888657
b-a,o,67.525448
b-a,o:,68.706359
b-a:,b-a,58.405265
b-a:,b-a:,53.374189
b-a:,b-i,82.814161
b-a:,b-i:,83.575613
b-a:,b-u,71.442141
b-a:,b-u:,71.389915
b-a:,b-e,74.179035
b-a:,b-e:,77.903579
b-a:,b-o,64.916799
b-a:,b-o:,66.507885
b-a:,d-a,60.215164
b-a:,d-a:,56.903346
b-a:,d-i,82.814161
b-a:,d-i:,83.575613
b-a:,d-u,70.282054
b-a:,d-u:,72.769189
b-a:,d-e,75.783047
b-a:,d-e:,77.903579
b-a:,d-o,66.124073
b-a:,d-o:,67.4612
b-a:,f-a,58.270079
b-a:,f-a:,53.374189
b-a:,f-i,83.436789
b-a:,f-i:,84.863755
b-a:,f-u,71.144281
b-a:,f-u:,71.389915
b-a:,f-e,76.620139
b-a:,f-e:,79.324168
b-a:,f-o,65.408418
b-a:,f-o:,67.134881
b-a:,g-a,58.863618
b-a:,g-a:,56.405973
b-a:,g-i,81.429288
b-a:,g-i:,88.113027
b-a:,g-u,70.912565
b-a:,g-u:,71.389915
b-a:,g-e,75.544098
b-a:,g-e:,79.889656
b-a:,g-o,64.45101
b-a:,g-o:,66.862451
b-a:,h-a,58.270079
b-a:,h-a:,54.928059
b-a:,h-i,83.436789
b-a:,h-i:,84.863755
b-a:,h-u,72.428828
b-a:,h-u:,71.389915
b-a:,h-e,75.038055
b-a:,h-e:,79.524836
