phonome1,phonome2,distance
b,b,62.54290088
b,by,65.88722156
b,ch,69.85994232000002
b,d,63.84960515999999
b,dy,78.02303260000002
b,f,69.85894384
b,g,64.8207764
b,gy,65.72784080000001
b,h,70.7144976
b,hy,70.99799719999999
b,j,65.57199871999998
b,k,68.48991288
b,ky,69.01823308
b,m,66.09683504000002
b,my,67.39271191999998
b,n,65.92120675999999
b,ny,66.90709796
b,p,69.18361359999999
b,py,72.65848195999999
b,r,64.18295240000002
b,ry,64.80922379999998
b,s,70.03882015999996
b,sh,70.6097166
b,sp,69.85329159999999
b,t,70.05982808000002
b,ts,69.26612992
b,w,70.36803472000003
b,y,68.57943444000003
b,z,65.2967344
by,b,70.2722452
by,by,61.675701919999995
by,ch,73.97194920000001
by,d,70.04972888
by,dy,74.68992259999996
by,f,74.34630256
by,g,69.84286524000001
by,gy,66.50181144
by,h,73.44553331999998
by,hy,70.95508655999998
by,j,69.79533668
by,k,72.25687768
by,ky,71.06099932000001
by,m,71.38810888
by,my,68.16699104000003
by,n,68.9816226
by,ny,67.77349072000001
by,p,76.13155528
by,py,70.49388924
by,r,67.79109199999999
by,ry,64.55697532000002
by,s,73.61264656
by,sh,71.61667120000001
by,sp,71.7845878
by,t,74.91351684
by,ts,74.06030191999999
by,w,74.441048
by,y,67.27271168
by,z,70.88916751999999
ch,b,70.99742220000002
ch,by,75.99677040000002
ch,ch,61.50911271999999
ch,d,68.23946352
ch,dy,76.2971634
ch,f,71.39761684
ch,g,67.35824284000002
ch,gy,66.40568972
ch,h,68.09582187999999
ch,hy,67.02292348
ch,j,63.40281984
ch,k,67.01608672
ch,ky,64.35967452
ch,m,74.93789156000001
ch,my,78.58155504000003
ch,n,68.01813399999999
ch,ny,69.7061014
ch,p,70.82265652
ch,py,72.25269480000001
ch,r,68.08774152
ch,ry,71.28245616
ch,s,65.27305468
ch,sh,64.15618799999999
ch,sp,68.18767940000001
ch,t,66.58337888
ch,ts,63.66764256000001
ch,w,77.67583412
ch,y,67.40657363999999
ch,z,64.9018962
d,b,66.14421076
d,by,67.70542231999997
d,ch,70.84453844000002
d,d,62.87265039999999
d,dy,76.56841680000001
d,f,72.2839682
d,g,66.29089483999999
d,gy,66.52040788000001
d,h,72.22571984000001
d,hy,71.81247744000001
d,j,66.86630176000001
d,k,69.71234659999999
d,ky,70.00449180000001
d,m,70.19772936
d,my,70.42436176
d,n,67.78810116
d,ny,69.40387772
d,p,71.12749176
d,py,74.23370432
d,r,65.97356891999998
d,ry,66.12519748000001
d,s,71.18599255999999
d,sh,71.11034787999999
d,sp,71.487359
